Date,AwayTeam,HomeTeam,A_1_recwOBA,A_2_recwOBA,A_3_recwOBA,A_4_recwOBA,A_5_recwOBA,A_6_recwOBA,A_7_recwOBA,A_8_recwOBA,A_9_recwOBA,H_1_recwOBA,H_2_recwOBA,H_3_recwOBA,H_4_recwOBA,H_5_recwOBA,H_6_recwOBA,H_7_recwOBA,H_8_recwOBA,H_9_recwOBA
02-04-2018,Cleveland Indians,Los Angeles Angels,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.372,0.524,0.323,0.149,0.072,0.435,0.232,nan,nan
03-04-2018,Cleveland Indians,Los Angeles Angels,0.266,0.161,0.106,0.618,0.542,0.3,nan,nan,0.174,0.428,0.434,0.299,0.149,0.067,0.402,0.227,nan,nan
04-04-2018,Cleveland Indians,Los Angeles Angels,0.272,0,0.308,0.594,nan,0.363,nan,nan,0.158,0.211,0.386,0.445,0.134,0.145,0.464,0.451,nan,0.128
06-04-2018,Oakland Athletics,Los Angeles Angels,0.238,0.197,0.494,0.228,0.218,0.435,0.411,0.145,0.063,0.256,0.336,0.378,0.218,0.067,0.294,0.349,nan,0.273
07-04-2018,Oakland Athletics,Los Angeles Angels,0.378,0.268,0.722,0.242,0.307,0.524,nan,0.145,0.318,0.223,0.336,0.538,0.478,0.174,0.36,0.46,0.406,nan
08-04-2018,Oakland Athletics,Los Angeles Angels,0.407,0.291,0.664,0.163,0.391,0.574,0.304,0.304,0.253,0.327,0.159,0.562,0.405,0.174,0.273,0.414,0.289,nan
17-04-2018,Boston Red Sox,Los Angeles Angels,0.216,0.457,0.388,0.461,0.323,0.466,0.19,0.159,0.304,nan,0.525,0.419,0.437,0.345,0.124,0.231,0.3,0.227
18-04-2018,Boston Red Sox,Los Angeles Angels,0.816,0.31,0.437,0.555,0.55,0.312,0.193,0.403,0.425,0.325,0.411,0.325,0.408,0.067,0.307,0.613,0.138,0.057
19-04-2018,Boston Red Sox,Los Angeles Angels,0.802,0.439,0.174,0.509,0.836,0.538,0.441,0.295,0.444,0.443,0.456,0.283,0.269,0.125,0.489,0.106,0.422,0.069
20-04-2018,San Francisco Giants,Los Angeles Angels,0.173,0.142,0.246,0.202,0.619,0.29,nan,0,0.109,0.335,0.332,0.072,0.158,0.145,0.359,0.393,0,0.077
21-04-2018,San Francisco Giants,Los Angeles Angels,0.19,0.312,0.377,0.23,0.456,0.494,nan,0,0.621,0.392,0.437,0,0.174,0.13,0.302,0.109,0.97,0.486
22-04-2018,San Francisco Giants,Los Angeles Angels,0.114,0.602,0.378,0.187,0.269,0.203,nan,0,0.304,0.13,0.656,0.115,0.319,0,0.079,0.441,0.069,0
27-04-2018,New York Yankees,Los Angeles Angels,0.245,0.589,0.728,0.227,0.554,0.174,0.111,0.427,0.218,0.173,0.375,0.227,0.292,0.218,0.792,0.252,0.087,0.141
