Date,AwayTeam,HomeTeam,temperature,windSpeed,windDirection,precipitation
09-04-2013,Oakland Athletics,Los Angeles Angels of Anaheim,68,6,out to Centerfield,Sunny
10-04-2013,Oakland Athletics,Los Angeles Angels of Anaheim,72,6,out to Centerfield,Sunny
11-04-2013,Oakland Athletics,Los Angeles Angels of Anaheim,61,8,out to Centerfield,Sunny
12-04-2013,Houston Astros,Los Angeles Angels of Anaheim,66,6,out to Centerfield,Sunny
13-04-2013,Houston Astros,Los Angeles Angels of Anaheim,60,8,out to Centerfield.,
14-04-2013,Houston Astros,Los Angeles Angels of Anaheim,63,5,out to Centerfield.,
19-04-2013,Detroit Tigers,Los Angeles Angels of Anaheim,77,6,out to Centerfield,Sunny
20-04-2013,Detroit Tigers,Los Angeles Angels of Anaheim,77,4,out to Centerfield,Sunny
21-04-2013,Detroit Tigers,Los Angeles Angels of Anaheim,74,9,out to Centerfield,Sunny
22-04-2013,Texas Rangers,Los Angeles Angels of Anaheim,62,10,out to Centerfield,Cloudy
23-04-2013,Texas Rangers,Los Angeles Angels of Anaheim,64,7,out to Centerfield,Sunny
24-04-2013,Texas Rangers,Los Angeles Angels of Anaheim,63,10,out to Centerfield.,
02-05-2013,Baltimore Orioles,Los Angeles Angels of Anaheim,88,5,out to Rightfield,Sunny
03-05-2013,Baltimore Orioles,Los Angeles Angels of Anaheim,83,6,out to Leftfield,Cloudy
04-05-2013,Baltimore Orioles,Los Angeles Angels of Anaheim,70,11,from Right to Left,Sunny
05-05-2013,Baltimore Orioles,Los Angeles Angels of Anaheim,65,12,out to Rightfield,Overcast
13-05-2013,Kansas City Royals,Los Angeles Angels of Anaheim,86,3,out to Centerfield,Sunny
14-05-2013,Kansas City Royals,Los Angeles Angels of Anaheim,71,5,out to Rightfield,Sunny
15-05-2013,Kansas City Royals,Los Angeles Angels of Anaheim,67,6,out to Centerfield,Sunny
16-05-2013,Chicago White Sox,Los Angeles Angels of Anaheim,66,7,out to Rightfield,Cloudy
17-05-2013,Chicago White Sox,Los Angeles Angels of Anaheim,69,7,out to Centerfield,Cloudy
18-05-2013,Chicago White Sox,Los Angeles Angels of Anaheim,72,7,from Right to Left,Cloudy
19-05-2013,Chicago White Sox,Los Angeles Angels of Anaheim,74,7,out to Rightfield,Sunny
21-05-2013,Seattle Mariners,Los Angeles Angels of Anaheim,69,8,out to Rightfield,Sunny
22-05-2013,Seattle Mariners,Los Angeles Angels of Anaheim,71,8,in from Leftfield,Sunny
29-05-2013,Los Angeles Dodgers,Los Angeles Angels of Anaheim,73,9,out to Centerfield,Sunny
30-05-2013,Los Angeles Dodgers,Los Angeles Angels of Anaheim,71,11,out to Rightfield,Sunny
31-05-2013,Houston Astros,Los Angeles Angels of Anaheim,72,7,out to Centerfield,Cloudy
01-06-2013,Houston Astros,Los Angeles Angels of Anaheim,70,10,out to Rightfield,Sunny
02-06-2013,Houston Astros,Los Angeles Angels of Anaheim,69,9,out to Centerfield,Overcast
03-06-2013,Houston Astros,Los Angeles Angels of Anaheim,67,8,out to Centerfield,Cloudy
04-06-2013,Chicago Cubs,Los Angeles Angels of Anaheim,69,9,out to Centerfield,Sunny
05-06-2013,Chicago Cubs,Los Angeles Angels of Anaheim,75,9,out to Centerfield,Sunny
14-06-2013,New York Yankees,Los Angeles Angels of Anaheim,67,9,out to Centerfield,Sunny
15-06-2013,New York Yankees,Los Angeles Angels of Anaheim,72,7,from Left to Right,Sunny
16-06-2013,New York Yankees,Los Angeles Angels of Anaheim,75,4,out to Rightfield,Sunny
17-06-2013,Seattle Mariners,Los Angeles Angels of Anaheim,72,4,out to Leftfield,Sunny
18-06-2013,Seattle Mariners,Los Angeles Angels of Anaheim,72,7,out to Rightfield,Sunny
19-06-2013,Seattle Mariners,Los Angeles Angels of Anaheim,75,5,out to Centerfield,Sunny
20-06-2013,Seattle Mariners,Los Angeles Angels of Anaheim,75,6,out to Centerfield,Sunny
21-06-2013,Pittsburgh Pirates,Los Angeles Angels of Anaheim,73,8,out to Rightfield,Cloudy
22-06-2013,Pittsburgh Pirates,Los Angeles Angels of Anaheim,73,7,out to Centerfield,Sunny
23-06-2013,Pittsburgh Pirates,Los Angeles Angels of Anaheim,70,5,out to Centerfield.,
02-07-2013,St. Louis Cardinals,Los Angeles Angels of Anaheim,71,6,out to Centerfield,Cloudy
03-07-2013,St. Louis Cardinals,Los Angeles Angels of Anaheim,74,3,in unknown direction,Cloudy
04-07-2013,St. Louis Cardinals,Los Angeles Angels of Anaheim,76,7,out to Centerfield,Sunny
05-07-2013,Boston Red Sox,Los Angeles Angels of Anaheim,72,8,out to Centerfield,Sunny
06-07-2013,Boston Red Sox,Los Angeles Angels of Anaheim,72,6,out to Centerfield,Cloudy
07-07-2013,Boston Red Sox,Los Angeles Angels of Anaheim,81,3,out to Centerfield,Cloudy
19-07-2013,Oakland Athletics,Los Angeles Angels of Anaheim,73,7,from Right to Left,Sunny
20-07-2013,Oakland Athletics,Los Angeles Angels of Anaheim,68,7,out to Centerfield,Cloudy
21-07-2013,Oakland Athletics,Los Angeles Angels of Anaheim,72,6,out to Centerfield,Overcast
22-07-2013,Minnesota Twins,Los Angeles Angels of Anaheim,73,9,out to Centerfield,Cloudy
23-07-2013,Minnesota Twins,Los Angeles Angels of Anaheim,76,8,out to Leftfield,Sunny
24-07-2013,Minnesota Twins,Los Angeles Angels of Anaheim,79,6,out to Centerfield,Sunny
01-08-2013,Toronto Blue Jays,Los Angeles Angels of Anaheim,71,6,out to Centerfield,Sunny
02-08-2013,Toronto Blue Jays,Los Angeles Angels of Anaheim,72,8,from Right to Left,Cloudy
03-08-2013,Toronto Blue Jays,Los Angeles Angels of Anaheim,74,10,out to Centerfield,Cloudy
04-08-2013,Toronto Blue Jays,Los Angeles Angels of Anaheim,75,4,out to Leftfield,Sunny
05-08-2013,Texas Rangers,Los Angeles Angels of Anaheim,72,7,out to Centerfield,Sunny
06-08-2013,Texas Rangers,Los Angeles Angels of Anaheim,72,7,out to Rightfield,Cloudy
07-08-2013,Texas Rangers,Los Angeles Angels of Anaheim,72,7,out to Centerfield,Sunny
16-08-2013,Houston Astros,Los Angeles Angels of Anaheim,79,7,out to Rightfield,Sunny
17-08-2013,Houston Astros,Los Angeles Angels of Anaheim,83,6,out to Centerfield,Sunny
18-08-2013,Houston Astros,Los Angeles Angels of Anaheim,76,6,out to Leftfield,Sunny
19-08-2013,Cleveland Indians,Los Angeles Angels of Anaheim,72,7,out to Centerfield,Cloudy
20-08-2013,Cleveland Indians,Los Angeles Angels of Anaheim,77,6,out to Rightfield,Cloudy
21-08-2013,Cleveland Indians,Los Angeles Angels of Anaheim,86,10,out to Centerfield,Sunny
