Date,AwayTeam,HomeTeam,temperature,windSpeed,windDirection,precipitation
10-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,67,7,out to Centerfield,Cloudy
11-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,68,6,out to Rightfield,Sunny
12-04-2015,Kansas City Royals,Los Angeles Angels of Anaheim,73,4,from Left to Right,Sunny
20-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,70,8,out to Rightfield,Sunny
21-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,66,8,out to Rightfield,Cloudy
22-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,64,2,from Left to Right.,Wind2mphfromLefttoRight
23-04-2015,Oakland Athletics,Los Angeles Angels of Anaheim,67,12,out to Centerfield.,Wind12mphouttoCenterfield
24-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,62,7,out to Centerfield.,Wind7mphouttoCenterfield
25-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,63,5,from Left to Right.,Wind5mphfromLefttoRight
26-04-2015,Texas Rangers,Los Angeles Angels of Anaheim,70,3,out to Rightfield,Sunny
04-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,64,8,out to Centerfield,Sunny
05-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,64,8,from Right to Left,Cloudy
06-05-2015,Seattle Mariners,Los Angeles Angels of Anaheim,63,6,out to Rightfield,Cloudy
07-05-2015,Houston Astros,Los Angeles Angels of Anaheim,61,7,out to Rightfield,Cloudy
08-05-2015,Houston Astros,Los Angeles Angels of Anaheim,61,6,out to Centerfield.,Wind6mphouttoCenterfield
09-05-2015,Houston Astros,Los Angeles Angels of Anaheim,64,6,from Right to Left,Cloudy
10-05-2015,Houston Astros,Los Angeles Angels of Anaheim,73,2,out to Centerfield,Sunny
12-05-2015,Colorado Rockies,Los Angeles Angels of Anaheim,64,7,out to Rightfield,Sunny
13-05-2015,Colorado Rockies,Los Angeles Angels of Anaheim,65,6,out to Rightfield,Cloudy
25-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,70,10,from Right to Left,Cloudy
26-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,67,7,out to Rightfield,Cloudy
27-05-2015,San Diego Padres,Los Angeles Angels of Anaheim,70,6,out to Rightfield,Cloudy
28-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,69,5,out to Rightfield,Cloudy
29-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,72,9,from Left to Right,Cloudy
30-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,70,6,out to Rightfield,Cloudy
31-05-2015,Detroit Tigers,Los Angeles Angels of Anaheim,72,7,out to Rightfield,Sunny
01-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,72,7,in unknown direction,Sunny
02-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,68,6,out to Rightfield,Sunny
03-06-2015,Tampa Bay Rays,Los Angeles Angels of Anaheim,70,6,out to Rightfield,Cloudy
12-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,70,6,from Right to Left,Cloudy
13-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,70,6,from Left to Right,Sunny
14-06-2015,Oakland Athletics,Los Angeles Angels of Anaheim,72,6,out to Rightfield,Sunny
15-06-2015,Arizona Diamondbacks,Los Angeles Angels of Anaheim,75,5,from Right to Left,Sunny
16-06-2015,Arizona Diamondbacks,Los Angeles Angels of Anaheim,70,7,out to Centerfield,Sunny
22-06-2015,Houston Astros,Los Angeles Angels of Anaheim,77,8,out to Centerfield,Cloudy
23-06-2015,Houston Astros,Los Angeles Angels of Anaheim,79,9,out to Leftfield,Sunny
